flag,model,bin_idx,bin_lo,bin_hi,n,error_rate,werr
hyphen_change,aligned_source,6,0.049367728829383825,0.09365761280059814,190,0.010526315789473684,0.0005771850284777189
hyphen_change,aligned_pacifico,0,0.0,0.007944509387016296,3622,0.32219768083931527,0.0010749004711306997
hyphen_change,aligned_pacifico,1,0.007944509387016296,0.014618337154388428,3852,0.09839044652128764,0.0010655041888495472
hyphen_change,aligned_pacifico,2,0.014618337154388428,0.02183227241039276,4212,0.027065527065527065,0.00047157721811549955
hyphen_change,aligned_pacifico,3,0.02183227241039276,0.029759883880615234,3059,0.009807126511932003,0.000252481300326569
hyphen_change,aligned_pacifico,4,0.029759883880615234,0.034644126892089844,1326,0.006787330316742082,0.0002245185152258089
hyphen_change,aligned_pacifico,5,0.034644126892089844,0.049009972810745234,1917,0.008346374543557642,0.00029353785776009957
hyphen_change,aligned_pacifico,6,0.049009972810745234,0.10089421272277832,198,0.005050505050505051,0.00026437730500192356
digit_change,vate,0,0.0,0.014221474528312683,5188,0.3309560524286816,0.00195757997615023
digit_change,vate,1,0.014221474528312683,0.026427507400512695,4437,0.12463376155059724,0.002455611472896071
digit_change,vate,2,0.026427507400512695,0.039520263671875,3596,0.059510567296996664,0.0019078384981272086
digit_change,vate,3,0.039520263671875,0.056232184171676636,1837,0.04735982580293958,0.0022226095069798036
digit_change,vate,4,0.056232184171676636,0.067271888256073,640,0.0328125,0.002005338482558727
digit_change,vate,5,0.067271888256073,0.10144402384757996,987,0.016210739614994935,0.0012989181274097137
digit_change,vate,6,0.10144402384757996,0.232882559299469,398,0.0,0.0
digit_change,aligned_deja,0,0.0,0.007757246494293213,5131,0.31982069771974275,0.0010464128823429956
digit_change,aligned_deja,1,0.007757246494293213,0.014355868101119995,4411,0.11425980503287236,0.001191373464337446
digit_change,aligned_deja,2,0.014355868101119995,0.02157685160636902,3612,0.06118493909191584,0.0010553037341382945
digit_change,aligned_deja,3,0.02157685160636902,0.029673337936401367,1922,0.037460978147762745,0.000941805766350769
digit_change,aligned_deja,4,0.029673337936401367,0.03430074453353882,578,0.015570934256055362,0.0005047604905692764
digit_change,aligned_deja,5,0.03430074453353882,0.04834541380405426,1054,0.010436432637571158,0.0004281474019363664
digit_change,aligned_deja,6,0.04834541380405426,0.09781527519226074,375,0.0026666666666666666,0.00014339240392049154
digit_change,aligned_source,0,0.0,0.00802774727344513,5159,0.31343283582089554,0.0010553795160492116
digit_change,aligned_source,1,0.00802774727344513,0.014777213335037231,4462,0.10286866875840431,0.0011115579501442287
digit_change,aligned_source,2,0.014777213335037231,0.02207021415233612,3668,0.04907306434023991,0.000863057495203507
digit_change,aligned_source,3,0.02207021415233612,0.030103623867034912,1872,0.03418803418803419,0.0008720717687382657
digit_change,aligned_source,4,0.030103623867034912,0.03491508960723877,566,0.015901060070671377,0.0005169747785628895
digit_change,aligned_source,5,0.03491508960723877,0.049367728829383825,1011,0.008902077151335312,0.00033924393318998826
digit_change,aligned_source,6,0.049367728829383825,0.09365761280059814,345,0.0,0.0
digit_change,aligned_pacifico,0,0.0,0.007944509387016296,5196,0.3127405696689761,0.0010286735240269663
digit_change,aligned_pacifico,1,0.007944509387016296,0.014618337154388428,4517,0.11157848129289351,0.001197976508656777
digit_change,aligned_pacifico,2,0.014618337154388428,0.02183227241039276,3589,0.04764558372805795,0.0008299730720211783
digit_change,aligned_pacifico,3,0.02183227241039276,0.029759883880615234,1890,0.03015873015873016,0.0007440604230083486
digit_change,aligned_pacifico,4,0.029759883880615234,0.034644126892089844,631,0.01584786053882726,0.000516565779309643
digit_change,aligned_pacifico,5,0.034644126892089844,0.049009972810745234,922,0.008676789587852495,0.0003357462407192801
digit_change,aligned_pacifico,6,0.049009972810745234,0.10089421272277832,338,0.005917159763313609,0.00031259021110083225
transposition,vate,0,0.0,0.014221474528312683,186,0.34408602150537637,0.001969000344635338
transposition,vate,1,0.014221474528312683,0.026427507400512695,208,0.10096153846153846,0.001914162475329179
transposition,vate,2,0.026427507400512695,0.039520263671875,432,0.027777777777777776,0.0009152711265616947
transposition,vate,3,0.039520263671875,0.056232184171676636,363,0.008264462809917356,0.0003602168119971746
transposition,vate,4,0.056232184171676636,0.067271888256073,24,0.0,0.0
transposition,aligned_deja,0,0.0,0.007757246494293213,191,0.3036649214659686,0.0010961974478516903
transposition,aligned_deja,1,0.007757246494293213,0.014355868101119995,231,0.09523809523809523,0.000995225462562594
transposition,aligned_deja,2,0.014355868101119995,0.02157685160636902,364,0.02197802197802198,0.0003663104969066578
transposition,aligned_deja,3,0.02157685160636902,0.029673337936401367,378,0.018518518518518517,0.0004435180040894362
transposition,aligned_deja,4,0.029673337936401367,0.03430074453353882,31,0.0,0.0
transposition,aligned_deja,5,0.03430074453353882,0.04834541380405426,18,0.0,0.0
transposition,aligned_source,0,0.0,0.00802774727344513,192,0.28125,0.0010186759755015373
transposition,aligned_source,1,0.00802774727344513,0.014777213335037231,209,0.08133971291866028,0.0009097465487758508
transposition,aligned_source,2,0.014777213335037231,0.02207021415233612,378,0.026455026455026454,0.0004643405240679544
transposition,aligned_source,3,0.02207021415233612,0.030103623867034912,377,0.005305039787798408,0.00013339313967474577
transposition,aligned_source,4,0.030103623867034912,0.03491508960723877,40,0.025,0.0007814869284629821
transposition,aligned_source,5,0.03491508960723877,0.049367728829383825,17,0.0,0.0
transposition,aligned_pacifico,0,0.0,0.007944509387016296,188,0.2925531914893617,0.0009034989362067365
transposition,aligned_pacifico,1,0.007944509387016296,0.014618337154388428,210,0.09047619047619047,0.0009965950534457251
transposition,aligned_pacifico,2,0.014618337154388428,0.02183227241039276,369,0.018970189701897018,0.0003264094109780743
transposition,aligned_pacifico,3,0.02183227241039276,0.029759883880615234,388,0.015463917525773196,0.00038933538898979267
transposition,aligned_pacifico,4,0.029759883880615234,0.034644126892089844,40,0.0,0.0
transposition,aligned_pacifico,5,0.034644126892089844,0.049009972810745234,18,0.0,0.0
insertion,vate,0,0.0,0.014221474528312683,20942,0.3207907554197307,0.0019235253453584857
insertion,vate,1,0.014221474528312683,0.026427507400512695,21141,0.11172602998912066,0.0021745087712373027
insertion,vate,2,0.026427507400512695,0.039520263671875,22122,0.04524907332067625,0.0014459004066766639
insertion,vate,3,0.039520263671875,0.056232184171676636,14531,0.02621980593214507,0.0012092960856259628
insertion,vate,4,0.056232184171676636,0.067271888256073,5313,0.01486918878223226,0.0009011085505048457
insertion,vate,5,0.067271888256073,0.10144402384757996,1864,0.03165236051502146,0.0024822510043438924
insertion,vate,6,0.10144402384757996,0.232882559299469,348,0.014367816091954023,0.001633413221644259
insertion,aligned_deja,0,0.0,0.007757246494293213,21330,0.3078762306610408,0.0010204442945713735
insertion,aligned_deja,1,0.007757246494293213,0.014355868101119995,21025,0.10772889417360286,0.0011310620965628787
insertion,aligned_deja,2,0.014355868101119995,0.02157685160636902,21335,0.041528005624560584,0.0007158998865306811
insertion,aligned_deja,3,0.02157685160636902,0.029673337936401367,13934,0.02346777666140376,0.0005863685510037738
insertion,aligned_deja,4,0.029673337936401367,0.03430074453353882,3808,0.015756302521008403,0.0005056276416578213
insertion,aligned_deja,5,0.03430074453353882,0.04834541380405426,4406,0.01270994098955969,0.0004898766956164844
insertion,aligned_deja,6,0.04834541380405426,0.09781527519226074,423,0.009456264775413711,0.0005240221959197494
insertion,aligned_source,0,0.0,0.00802774727344513,21201,0.30517428423187587,0.0010401611226689427
insertion,aligned_source,1,0.00802774727344513,0.014777213335037231,20769,0.10053445038278203,0.0011003043311901203
insertion,aligned_source,2,0.014777213335037231,0.02207021415233612,21656,0.0393424455116365,0.0006968234055016726
insertion,aligned_source,3,0.02207021415233612,0.030103623867034912,13963,0.020124615054071475,0.00050961640027467
insertion,aligned_source,4,0.030103623867034912,0.03491508960723877,3904,0.013063524590163935,0.0004236635400867853
insertion,aligned_source,5,0.03491508960723877,0.049367728829383825,4349,0.009197516670498965,0.00035982647005731576
insertion,aligned_source,6,0.049367728829383825,0.09365761280059814,419,0.00954653937947494,0.0005883994136619112
insertion,aligned_pacifico,0,0.0,0.007944509387016296,21075,0.3062870699881376,0.0010131408650679945
insertion,aligned_pacifico,1,0.007944509387016296,0.014618337154388428,20915,0.10064546975854649,0.0010872499098653517
insertion,aligned_pacifico,2,0.014618337154388428,0.02183227241039276,21464,0.03815691390234812,0.0006737781190801102
